domain,theme,value1,value2,brief introduction,scene,role1,D1,role2,D2,relation,conflict_level,id
身体健康,饮食计划制定,享乐主义,安全,在制定饮食计划时，可能出现享受美食（享乐主义）与追求健康饮食（健康）之间的冲突,达西和伊丽莎白是新婚的夫妻，他们正在计划着新的饮食生活。作为一对注重生活品质的夫妻，他们都希望在饮食中找到满足感。然而，他们对于怎么样的饮食才算满足感却有很大的分歧。达西更偏向于享受美食，他认为美食能带给人们乐趣；而伊丽莎白则是认为健康饮食才是更重要的，她主张的是安全的饮食。,达西。达西是一名热爱生活的年轻人，他喜欢尝试各种美食，对于美食有着独特的热情,倾向于享受美食，选择那些口感和味道都很好的食物，比如烤肉、糖醋排骨等，而且善于寻找各种新奇的美食。,伊丽莎白。伊丽莎白是一位非常注重健康的女性，她自己也是一个健身爱好者，因此，她更注重饮食的健康，喜欢吃蔬菜和水果,饮食计划更偏向于健康，选择那些营养均衡、低脂低糖的食物，比如沙拉、煮鸡胸肉等，避免吃那些油腻或者热量过高的食物。,夫妻,1,1
身体健康,饮食计划制定,自我导向,遵从,例如，一个人可能想要自己制定饮食计划，按照自己的口味和偏好来选择食物（自我导向），但又可能需要遵从医生或营养师的建议，选择更健康的食物（遵从）,一个比较年轻的夫妇，最近发现自己的体重增加了不少，决定做出调整，采用健康的饮食计划来减肥。他们进行了大量的研究，收集了各种饮食计划，包括低碳水化合物饮食、低脂饮食、食物分离饮食等。他们的目标是找到一种能让他们享受美食，同时又能帮助他们控制体重的饮食计划。但他们对于如何制定这个饮食计划产生了分歧。,Tom，他是一个食物爱好者，对于美食有着极大的热情，喜欢尝试新的食物和食谱，不喜欢被严格的饮食计划所约束,认为饮食计划应在满足健康需求的同时，能够满足一些口味需求。希望能够自由选择自己喜欢的食物，只要不过量就好。不赞同一些过于严格的饮食计划。,Lily，她是一个虽然喜欢美食，但对健康有着高度关注的人，她认为在饮食上应严格遵守医生、营养师的建议，以保证身体健康,认为应该遵从专业的营养餐计划，坚守低脂、低糖、低盐的饮食原则，从而确保饮食的健康性，而不仅仅是满足口味。,夫妻,3,2
身体健康,饮食计划制定,成就,享乐主义,例如，一个人可能想通过严格的饮食计划和锻炼，达到减肥或健身的目标（成就），但这可能会让他无法享受到美食带来的乐趣（享乐主义）,维多利亚和詹姆斯是一对夫妻，他们都在年纪轻轻的时候就积累了一定的财富，过着安逸的生活。最近，他们正在为自己的健康问题纠结，应该严格制定饮食计划以减少癌症的风险，还是应该继续享受美食，同时适量的运动呢。维多利亚因为家族病史，一直在警惕自己的健康，而詹姆斯则认为适当的运动就足够了，无需限制自己的饮食。,维多利亚，她是个非常细心并且对健康有着高度关注的人。她的父母一直都受着健康问题的困扰，这让她从小就有了身体健康很重要的认识,认为制定严格的饮食计划，并且坚持下去，能够降低自己癌症的风险，为自己的健康创造更好的未来。,詹姆斯，他是个喜欢享受生活的人，认为美食和适当的运动是生活的一大乐趣。他的父母都是长寿老人，这让他认为只要生活愉快，健康就会有,适度的享受美食，让生活更有乐趣。同时适当的运动也能保证自己的健康。不认为需要改变自己的饮食习惯来降低癌症的风险。,夫妻,3,3
身体健康,饮食计划制定,刺激,安全,例如，一个人可能喜欢尝试各种新奇的食物（刺激），但这可能会影响他的健康（安全）,在新年即将到来之际，Tom和Sue都希望在家中举行一场庆祝活动。他们需要设计一份丰富的餐食计划，来满足亲朋好友的口味。然而，Tom希望在菜单中添加一些新奇、独特且具有挑战性的菜品，以给大家带来惊喜。而Sue则认为保持传统的菜单更为稳妥和安全，因为那些菜品的味道大家都喜欢且没有过敏风险。,Tom，一个非常有冒险精神和创新意识的人，他喜欢尝试新事物并乐于挑战,尝试在菜单中添加一些新的、从未尝试过的异国料理，比如鳗鱼寿司和香辣蟹，来满足自己对于刺激的追求。,Sue，一个谨慎和顾家的家庭主妇，她比较重视家庭的安全和健康，比如在食物的选择上她会比较保守，主张选择对大家的健康无害且有营养的食物,坚持保留常规的菜单，比如烧烤，沙拉和水果拼盘等，既能保证大家的口味，又能确保食物的安全。,夫妻,3,4
身体健康,运动方案选择,享乐主义,安全,在选择运动方案时，可能有人更倾向于享受生活，希望选择一些轻松愉快的运动项目，比如瑜伽、慢跑等,新年刚过不久，夫妻两人决定开始健康的生活方式，计划选择一项运动方案来保持身体健康。他们的目标是寻找一种能够给他们带来乐趣和健康的运动。然而，他们在选择运动方案时产生了分歧：一个想要选择更加轻松愉快的运动项目，而另一个更倾向于选择安全性较高，风险较低的运动项目。,Lisa，一个喜欢尝试新事物，追求生活乐趣的人，她相信生活应该充满愉快和享受，而非单调的日复一日。她的价值观是享乐主义。,觉得瑜伽或者舞蹈是一个不错的选择。这些运动可以让自己感到快乐，同时也能够保持身体的灵活性和健康。,Tom，一个注重安全，偏爱稳妥的人。他相信保持健康的最好方式是通过稳定、安全的方式，而不应该选择有风险的运动。他的价值观是安全。,提议选择一些低风险，如散步或者游泳。这些运动风险较低，同时也对身体有益。,夫妻,3,5
身体健康,运动方案选择,自我导向,安全,选择运动方案时，自我导向的个体可能更喜欢冒险、挑战自我、选择一些较为激进或新奇的运动项目，比如滑雪、攀岩等,结婚多年的夫妻Carl和Susan正在决策他们的健身方案以准备即将到来的假期。他们的目标是在接下来的三个月内增强体质，以便能够体验假期中的各种活动。然而，他们在选择运动方案上产生了分歧。,Carl，他是一名极具冒险精神的摄影师，经常需要迎接新的挑战以获取最好的拍摄效果。他喜欢尝试新鲜事物，寻求刺激,提议参加一项名为“健身冒险”的运动课程，这个课程包括攀岩、户外徒步和越野跑等运动，旨在挑战个人的极限。,Susan，她是一名教师，一贯提倡安全和稳定。她更关心自身和他人的安全，把健康放在首位,倾向于选择瑜伽或游泳这样的低风险运动。认为这些运动更加安全，也能有效增强体质。,夫妻,3,6
身体健康,运动方案选择,成就,慈善,在选择运动方案时，追求成就的个体可能更希望通过个人竞技，如跑步比赛、体操比赛等，来证明自己的价值和实力,由于公司要求员工加强团队精神和增进身体健康，因此决定组织一次运动活动。在选择运动方案如健身房锻炼、团队球赛、户外徒步等中出现了分歧。这次活动希望能够以提升员工身心健康为目标，同时增进团队精神。,张强，公司的销售经理，是一个有抱负和竞争力的人。他愿意接受挑战，喜欢比较和竞争，因此他的价值观主要体现为成就。,提议选择团队球赛，这样既可以锻炼身体，又能增强竞争力和团队精神，认为这是一种衡量成就的好方式。,李娟，公司的人力资源主管，她关心和照顾公司员工就像她的家人一样，她的价值观主要体现为慈善。,建议选择户外徒步，这样可以让大家在轻松的氛围中沟通交流，并且可以欣赏到自然的风光，使身心得到放松，认为这是一种提升员工福利和健康的好方式。,同事,3,7
身体健康,运动方案选择,权力,大同,在选择运动方案时，追求权力的人可能会考虑那些可以提升社会地位和声望的运动，如高尔夫、马术等,在小城堡俱乐部，一项新的运动方案即将上线，需要在网球和公共游泳两个选项中做出选择。网球作为一项有社交属性的运动，可以带来社会地位的提高和自我价值的实现，而公共游泳则是对所有人开放的，可以带来更广泛的社会利益。,John，一个社会地位较高的商人，富有且善于社交。他对于提升自己的社会地位有着较高的追求，常常希望能够通过自己的行动来进一步体现财富和权力,认为网球是个上流社会的运动，吸引的人群更有可能是社会地位较高的人。支持引入网球这项运动，希望通过此项运动能吸引更多社会精英，进一步提升俱乐部的声望和自身的社会地位。,Linda，一个热心公益的社区活动组织者，经常致力于社区的和谐与发展，关心每一个社区成员的福祉。她认为服务所有人，促进社区和谐更为重要,觉得公共游泳更能体现公平公正，方便所有人参与，为所有会员提供相同的机会。这将使更多人参与其中，有利于社区凝聚力的提高。,John和Linda是小城堡俱乐部的主要决策者，他们共同承担着俱乐部的发展和维护工作。,3,8
身体健康,体检频率决定,安全,享乐主义,从安全的角度来看，体检可以及时发现身体的问题，对维护健康有重要作用，因此有些人可能会选择定期做体检,最近，身边的朋友们纷纷开始定期做体检，这让原本每天忙于工作的夫妻俩开始思考自己应该如何决定自己的体检频率。体检不仅可以及时发现身体问题，更能提前预防，这对于健康起着重要的维护作用。决策的目的在于如何在保证身体健康的同时，尽可能减少资源的浪费和个人的不适。,李华，一个十分注重生活品质和健康的男性。他认为生活需要有规划，注重预防胜于治疗的观念，对健康管理有着独特的见解,认为定期进行体检是必要的，这样才能保障自己的身体健康，也能让自己有安全感。决定每年进行一次全面体检。,王丽，一个积极乐观的女性，她认为人生应该享受当下，过于担忧未来会失去现在的乐趣。她注重生活的瞬间体验，对于定期体检感觉比较抵触,认为过度的检查会浪费时间和金钱，使人过于焦虑，影响生活的质量。更喜欢按照身体的感觉来做决定，只有在感觉身体不适的时候，才会去做体检。,夫妻,3,9
身体健康,体检频率决定,自我导向,遵从,自我导向的人可能会根据自己的感觉和需要，自由选择体检的频率，而遵从的人可能会听从医生或社会普遍的建议，比如每年体检一次,公司为员工提供每年一次的免费体检，考虑到自身健康状况，需要决定体检的频率。决策的背景是公司的福利政策，决策的目的是保障员工健康，决策带来的分歧在于个人对体检频率的看法不同。,John，John是一名程序员，热爱户外运动，坚信自己的健康状态，乐于探索和接受新事物的挑战,认为虽然公司提供每年一次的体检，但自己能感觉到自己的健康状态，认为没有必要每年都去体检，只有当感到身体不适的时候才会选择去体检。,Linda，Linda是一名行政人员，负责公司的健康福利政策。她严格遵守规定，奉行公司的福利政策，认为规定的体检频率是科学的,认为每年的体检是必要的，即使自己觉得身体状况良好，也要遵守规定，每年都进行体检，预防疾病的发生。,RR。John和Linda都是公司的员工，他们在公司中的角色和职责不同，而他们对体检频率的看法也存在分歧。,3,10
身体健康,体检频率决定,慈善,成就,从慈善的角度，可能会考虑到家人朋友的感受，自己的健康状况会直接影响到他们，因此可能会定期体检,公司近期的经营状况不佳，压力加大，员工们的身体健康状况引起了大家的关注。工作辛苦，加班频繁，成为常态，员工们的身体状况堪忧。在这样的背景下，公司决定定期为员工进行体检，目的是珍视员工的身体健康。然而，决定体检的频率时出现了分歧。,玛丽，人力资源部的经理。玛丽关心员工，她经常参与员工的日常活动，了解他们的需求，并始终以员工福利为出发点来开展工作,认为应该每三个月就为员工进行一次体检，以便及时发现并处理任何可能的健康问题，从而减轻员工的心理压力，增强他们的工作信心。,约翰，公司的首席执行官。约翰是一个有雄心壮志的领导者，他一心一意要把公司做大做强，他时刻关注公司的竞争状况，用赤子之心去追求事业的成就,认为公司应该以年度为单位进行体检，认为这样的频率既能满足员工健康的需求，又避免过度关注身体健康影响到工作进度，符合自己追求公司业绩的目标。,同事,3,11
身体健康,体检频率决定,权力,刺激,从权力的角度来看，一个人可能会认为，定期体检并保持健康是维持自身社会地位和影响力的重要方式,在一个快节奏的大城市中，L公司的两位高管面临一个关于体检频率的决策。由于工作强度大和工作压力高，公司建议他们每三个月进行一次体检。然而，两位高管对此有不同的看法和决策。,John，公司的首席执行官。他是一个典型的工作狂，相信健康是他保持工作效率和社会影响力的基础,决定接受公司的建议，在每三个月进行一次体检，以确保自己能保持最佳的健康状况，从而维持自己的社会地位和影响力。,Mike，公司的首席财务官。他是一个爱好冒险和挑战的人，工闲之余他喜欢尝试各种刺激的活动,感觉每三个月进行一次体检过于频繁，认为这将影响个人的生活乐趣和工作表现。决定每六个月进行一次体检，既可以顾及健康，又可以有更多的时间和精力去做喜欢的事。,伙伴,3,12
